iter	Passed	Remaining
0	1	119
1	2	114
2	3	109
3	4	100
4	5	100
5	6	98
6	7	97
7	8	96
8	9	95
9	10	94
10	11	93
11	12	93
12	13	92
13	14	91
14	16	90
15	17	90
16	18	89
17	19	87
18	20	86
19	21	85
20	22	84
21	23	83
22	24	82
23	25	80
24	26	79
25	27	78
26	28	77
27	29	76
28	30	75
29	32	74
30	33	74
31	34	73
32	35	72
33	36	71
34	37	70
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	44	64
41	45	62
42	46	61
43	47	59
44	48	58
45	49	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	58	49
54	58	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	65	42
61	66	41
62	68	39
63	69	38
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	29
73	80	28
74	81	27
75	82	26
76	83	24
77	84	23
78	85	22
79	86	21
80	87	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	95	14
87	96	13
88	97	12
89	98	10
90	100	9
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
