iter	Passed	Remaining
0	152	152072
1	154	76900
2	155	51775
3	157	39179
4	159	31819
5	162	26867
6	163	23249
7	165	20475
8	166	18300
9	168	16680
10	169	15273
11	171	14089
12	174	13253
13	176	12431
14	177	11657
15	179	11008
16	179	10400
17	180	9857
18	182	9404
19	183	8968
20	183	8573
21	184	8215
22	185	7889
23	189	7719
24	192	7494
25	193	7233
26	194	6994
27	195	6782
28	196	6572
29	197	6390
30	198	6208
31	199	6037
32	200	5875
33	201	5735
34	206	5682
35	207	5543
36	208	5423
37	209	5304
38	210	5192
39	211	5076
40	212	4967
41	213	4870
42	214	4771
43	215	4677
44	217	4607
45	218	4522
46	219	4450
47	221	4388
48	222	4311
49	223	4237
50	223	4165
51	224	4097
52	225	4032
53	226	3968
54	227	3912
55	230	3890
56	232	3839
57	233	3785
58	233	3731
59	234	3679
60	235	3630
61	236	3581
62	237	3533
63	238	3488
64	239	3443
65	240	3400
66	241	3357
67	241	3316
68	245	3310
69	247	3282
70	249	3258
71	250	3222
72	251	3189
73	252	3155
74	252	3120
75	253	3085
76	254	3052
77	255	3019
78	256	2987
79	257	2958
80	261	2965
81	262	2937
82	262	2903
83	263	2874
84	264	2846
85	265	2820
86	266	2794
87	267	2768
88	267	2742
89	268	2717
90	269	2692
91	270	2668
92	271	2645
93	272	2622
94	275	2624
95	276	2603
96	277	2581
97	278	2560
98	279	2539
99	279	2518
100	280	2498
101	281	2478
102	282	2458
103	283	2439
104	283	2420
105	284	2401
106	285	2383
107	286	2364
108	287	2347
109	290	2352
110	291	2336
111	292	2319
112	293	2302
113	294	2286
114	295	2270
115	295	2254
116	296	2237
117	297	2222
118	298	2207
119	298	2191
120	299	2177
121	300	2162
122	301	2148
123	302	2134
124	304	2128
125	305	2120
126	306	2106
127	307	2093
128	308	2080
129	308	2067
130	309	2054
131	310	2042
132	311	2030
133	312	2018
134	313	2006
135	313	1994
136	314	1982
137	315	1971
138	316	1960
139	317	1949
140	319	1946
141	320	1937
142	321	1927
143	322	1916
144	323	1905
145	324	1896
146	324	1885
147	325	1875
148	326	1865
149	327	1855
150	328	1845
151	329	1836
152	329	1826
153	330	1816
154	331	1807
155	332	1799
156	336	1807
157	337	1798
158	338	1790
159	339	1781
160	340	1772
161	341	1763
162	341	1755
163	342	1746
164	343	1737
165	344	1729
166	345	1721
167	345	1712
168	346	1704
169	347	1697
170	349	1696
171	350	1689
172	351	1681
173	352	1673
174	353	1666
175	354	1659
176	355	1653
177	356	1646
178	357	1639
179	358	1633
180	359	1626
181	360	1619
182	361	1613
183	362	1608
184	364	1606
185	366	1605
186	367	1599
187	369	1593
188	370	1591
189	372	1587
190	373	1580
191	374	1574
192	374	1567
193	375	1561
194	376	1555
195	380	1559
196	381	1555
197	382	1550
198	383	1545
199	384	1539
200	385	1534
201	386	1528
202	387	1523
203	388	1517
204	389	1511
205	390	1506
206	391	1501
207	394	1502
208	396	1500
209	397	1495
210	398	1489
211	399	1484
212	400	1479
213	401	1474
214	402	1469
215	403	1465
216	405	1461
217	406	1458
218	411	1468
219	413	1465
220	417	1472
221	419	1470
222	421	1466
223	426	1477
224	428	1476
225	431	1476
226	432	1473
227	435	1475
228	437	1471
229	443	1484
230	445	1481
231	446	1476
232	447	1472
233	448	1468
234	449	1463
235	450	1458
236	451	1453
237	452	1449
238	454	1446
239	457	1449
240	458	1445
241	459	1440
242	460	1435
243	461	1430
244	462	1425
245	463	1420
246	464	1414
247	464	1409
248	468	1412
249	470	1410
250	470	1405
251	471	1400
252	472	1395
253	473	1390
254	474	1385
255	475	1381
256	476	1376
257	476	1371
258	477	1367
259	478	1362
260	479	1357
261	480	1352
262	484	1358
263	486	1354
264	486	1350
265	487	1346
266	488	1342
267	489	1337
268	490	1333
269	491	1328
270	492	1324
271	493	1319
272	493	1315
273	494	1310
274	495	1306
275	499	1310
276	500	1306
277	501	1302
278	502	1298
279	503	1294
280	504	1290
281	505	1286
282	506	1282
283	507	1278
284	508	1274
285	509	1271
286	510	1267
287	511	1263
288	515	1268
289	516	1265
290	517	1261
291	518	1257
292	519	1254
293	520	1250
294	522	1247
295	523	1244
296	524	1241
297	525	1237
298	526	1235
299	531	1239
300	532	1235
301	533	1232
302	533	1228
303	534	1224
304	535	1220
305	536	1216
306	537	1213
307	538	1209
308	539	1205
309	540	1202
310	541	1198
311	541	1195
312	545	1197
313	546	1194
314	547	1191
315	549	1188
316	549	1184
317	550	1180
318	551	1177
319	552	1174
320	553	1170
321	554	1167
322	555	1163
323	556	1160
324	556	1156
325	561	1160
326	562	1157
327	563	1153
328	564	1150
329	564	1147
330	565	1143
331	566	1140
332	567	1136
333	568	1133
334	569	1129
335	569	1126
336	570	1122
337	571	1119
338	572	1115
339	574	1114
340	575	1111
341	575	1107
342	576	1104
343	577	1101
344	578	1098
345	579	1095
346	580	1092
347	581	1089
348	583	1087
349	584	1084
350	585	1081
351	586	1078
352	589	1081
353	590	1078
354	591	1075
355	592	1072
356	593	1069
357	594	1066
358	595	1062
359	596	1059
360	596	1056
361	597	1053
362	598	1050
363	599	1047
364	600	1044
365	600	1041
366	601	1037
367	605	1039
368	606	1037
369	607	1034
370	608	1031
371	609	1028
372	609	1025
373	610	1022
374	611	1019
375	612	1016
376	613	1013
377	613	1010
378	614	1007
379	615	1004
380	616	1001
381	617	999
382	619	998
383	620	996
384	621	993
385	622	990
386	623	987
387	624	984
388	625	981
389	625	979
390	626	976
391	627	973
392	628	970
393	629	967
394	630	965
395	630	962
396	631	959
397	635	961
398	636	959
399	637	956
400	638	954
401	639	951
402	640	948
403	641	945
404	642	943
405	642	940
406	643	937
407	644	934
408	645	932
409	645	929
410	646	926
411	649	927
412	650	924
413	651	922
414	652	919
415	653	917
416	654	914
417	654	911
418	655	909
419	656	906
420	657	903
421	658	901
422	658	898
423	659	896
424	660	893
425	661	891
426	664	892
427	665	889
428	666	887
429	667	884
430	668	882
431	669	879
432	670	877
433	670	874
434	671	872
435	672	870
436	673	867
437	674	865
438	675	862
439	675	860
440	676	857
441	679	857
442	680	855
443	681	853
444	682	850
445	683	848
446	684	846
447	684	843
448	685	841
449	686	839
450	687	836
451	688	834
452	688	831
453	689	829
454	690	827
455	691	824
456	692	822
457	694	821
458	695	819
459	696	817
460	697	815
461	698	813
462	699	810
463	699	808
464	700	806
465	701	803
466	702	801
467	703	799
468	703	797
469	704	794
470	705	792
471	706	790
472	707	788
473	709	787
474	710	785
475	711	783
476	712	781
477	713	779
478	714	776
479	714	774
480	715	772
481	716	769
482	717	767
483	718	765
484	718	763
485	719	761
486	720	758
487	721	756
488	724	757
489	726	755
490	726	753
491	727	751
492	728	749
493	729	747
494	730	745
495	731	742
496	731	740
497	732	738
498	733	736
499	734	734
500	735	732
501	735	730
502	736	728
503	738	727
504	740	726
505	741	724
506	742	722
507	743	720
508	744	718
509	745	716
510	746	714
511	747	712
512	748	710
513	749	708
514	750	706
515	750	704
516	751	702
517	754	702
518	755	700
519	756	698
520	757	696
521	758	694
522	758	692
523	759	690
524	760	688
525	761	686
526	762	684
527	763	682
528	764	680
529	764	678
530	765	676
531	766	674
532	769	674
533	770	672
534	771	670
535	772	669
536	773	667
537	774	665
538	775	663
539	776	661
540	777	659
541	778	657
542	779	655
543	780	653
544	780	652
545	781	650
546	785	650
547	786	648
548	787	646
549	788	645
550	789	643
551	790	641
552	791	639
553	792	637
554	793	635
555	793	634
556	794	632
557	796	630
558	797	628
559	799	628
560	800	626
561	801	624
562	802	622
563	803	621
564	804	619
565	805	617
566	807	616
567	808	614
568	809	613
569	810	611
570	812	610
571	813	608
572	814	606
573	815	605
574	816	603
575	817	601
576	819	600
577	821	600
578	823	598
579	824	596
580	825	595
581	826	593
582	827	592
583	828	590
584	830	588
585	831	587
586	832	585
587	833	583
588	836	583
589	837	581
590	838	580
591	839	578
592	840	576
593	841	575
594	842	573
595	843	572
596	845	570
597	846	568
598	847	567
599	850	567
600	852	565
601	853	564
602	854	562
603	855	561
604	857	559
605	858	557
606	859	556
607	860	554
608	862	553
609	863	551
610	866	551
611	867	550
612	869	548
613	870	547
614	871	545
615	872	544
616	874	542
617	875	541
618	876	539
619	881	540
620	883	539
621	885	538
622	887	536
623	888	535
624	890	534
625	892	533
626	894	532
627	898	532
628	900	531
629	902	529
630	905	529
631	906	527
632	907	526
633	912	526
634	915	526
635	917	524
636	918	523
637	919	521
638	920	520
639	924	519
640	926	518
641	927	517
642	929	515
643	930	514
644	932	512
645	934	511
646	935	510
647	939	510
648	940	508
649	942	507
650	943	506
651	945	504
652	946	503
653	948	501
654	949	499
655	950	498
656	953	497
657	955	496
658	956	495
659	957	493
660	959	491
661	960	490
662	961	488
663	963	487
664	964	485
665	967	485
666	969	483
667	970	482
668	972	480
669	973	479
670	974	477
671	975	476
672	976	474
673	979	473
674	980	472
675	985	472
676	986	470
677	988	469
678	990	468
679	991	466
680	993	465
681	994	463
682	1000	464
683	1002	463
684	1004	461
685	1005	460
686	1008	459
687	1011	458
688	1015	458
689	1017	457
690	1019	455
691	1021	454
692	1023	453
693	1024	451
694	1027	450
695	1030	450
696	1032	449
697	1034	447
698	1035	445
699	1037	444
700	1040	443
701	1046	444
702	1048	442
703	1050	441
704	1053	440
705	1054	439
706	1056	437
707	1060	437
708	1062	435
709	1063	434
710	1065	432
711	1066	431
712	1067	429
713	1069	428
714	1071	426
715	1076	427
716	1078	425
717	1079	423
718	1081	422
719	1083	421
720	1085	419
721	1086	418
722	1094	419
723	1096	418
724	1097	416
725	1099	414
726	1100	413
727	1102	411
728	1104	410
729	1106	409
730	1108	407
731	1109	406
732	1110	404
733	1112	403
734	1113	401
735	1115	399
736	1116	398
737	1117	396
738	1121	396
739	1123	394
740	1125	393
741	1126	391
742	1128	390
743	1129	388
744	1131	387
745	1132	385
746	1135	384
747	1138	383
748	1139	381
749	1140	380
750	1141	378
751	1143	377
752	1144	375
753	1146	373
754	1147	372
755	1149	371
756	1151	369
757	1153	368
758	1155	366
759	1157	365
760	1158	363
761	1160	362
762	1162	361
763	1166	360
764	1167	358
765	1169	357
766	1170	355
767	1174	354
768	1175	353
769	1176	351
770	1178	349
771	1188	350
772	1189	349
773	1190	347
774	1192	346
775	1193	344
776	1197	343
777	1199	342
778	1200	340
779	1202	339
780	1203	337
781	1205	336
782	1206	334
783	1208	332
784	1213	332
785	1214	330
786	1216	329
787	1217	327
788	1219	326
789	1220	324
790	1222	322
791	1223	321
792	1225	319
793	1229	319
794	1231	317
795	1232	315
796	1234	314
797	1236	312
798	1237	311
799	1238	309
800	1242	308
801	1244	307
802	1246	305
803	1248	304
804	1249	302
805	1251	301
806	1252	299
807	1253	297
808	1258	297
809	1260	295
810	1261	294
811	1262	292
812	1264	290
813	1265	289
814	1267	287
815	1268	286
816	1270	284
817	1272	283
818	1274	281
819	1276	280
820	1278	278
821	1279	277
822	1281	275
823	1283	274
824	1285	272
825	1290	271
826	1291	270
827	1293	268
828	1294	267
829	1296	265
830	1297	263
831	1299	262
832	1300	260
833	1305	259
834	1306	258
835	1308	256
836	1311	255
837	1312	253
838	1313	252
839	1315	250
840	1321	249
841	1322	248
842	1324	246
843	1326	245
844	1328	243
845	1329	242
846	1331	240
847	1337	239
848	1339	238
849	1340	236
850	1342	235
851	1344	233
852	1345	231
853	1346	230
854	1351	229
855	1353	227
856	1354	226
857	1356	224
858	1358	223
859	1360	221
860	1361	219
861	1364	218
862	1366	216
863	1368	215
864	1369	213
865	1371	212
866	1373	210
867	1375	209
868	1382	208
869	1390	207
870	1391	206
871	1392	204
872	1399	203
873	1401	202
874	1403	200
875	1405	198
876	1406	197
877	1408	195
878	1410	194
879	1414	192
880	1416	191
881	1417	189
882	1419	188
883	1420	186
884	1422	184
885	1423	183
886	1428	181
887	1429	180
888	1432	178
889	1434	177
890	1436	175
891	1437	174
892	1438	172
893	1442	170
894	1443	169
895	1445	167
896	1446	166
897	1448	164
898	1449	162
899	1451	161
900	1452	159
901	1454	157
902	1457	156
903	1459	154
904	1461	153
905	1462	151
906	1464	150
907	1466	148
908	1467	146
909	1471	145
910	1474	144
911	1476	142
912	1478	140
913	1480	139
914	1482	137
915	1483	136
916	1488	134
917	1489	133
918	1491	131
919	1493	129
920	1495	128
921	1497	126
922	1503	125
923	1504	123
924	1506	122
925	1508	120
